storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
643;07.04.1981;03.01.1998;1;45;51;10820 N. KINGS HWY;Myrtle Beach;SC;29572;Supercenter
644;07.04.1981;03.01.1998;1;45;7;651 HWY 28 BYPASS;Anderson;SC;29624;Supercenter
645;08.02.1984;03.01.1996;1;31;119;2400 PASEWALK AVE;Norfolk;NE;68701;Supercenter
646;10/16/1984 ;;;19;105;102 CHAMBER DRIVE;Anamosa;IA;52205;Wal-Mart
647;02.05.1985;;;19;157;208 WEST STREET SOUTH;Grinnell;IA;50112;Wal-Mart
648;11/29/1984 ;;;29;183;1661 JUNGERMAN RD;St. Peters;MO;63304;Wal-Mart
649;8/21/1984 ;03.01.1996;1;12;9;3175 CHENEY HWY;Titusville;FL;32780;Supercenter
650;9/18/1984 ;;;51;195;1941 NEELEY ROAD;Big Stone Gap;VA;24219;Wal-Mart
651;6/29/1984 ;03.01.1995;1;48;245;4145 NORTH DOWLEN ROAD;Beaumont;TX;77706;Supercenter
652;10/16/1984 ;03.01.1997;1;20;55;3101 EAST KANSAS AVE;Garden City;KS;67846;Supercenter
653;07.04.1981;03.01.1995;1;21;47;300 CLINIC DRIVE;Hopinsville;KY;42240;Supercenter
655;4/28/1987 ;03.01.1995;1;21;107;1756  EAST CENTER ST;Madisonville;KY;42431;Supercenter
656;07.04.1981;5/21/2003 ;1;47;3;1880 NORTH MAIN ST;Shelbyville;TN;37160;Supercenter
657;07.04.1981;03.01.1994;1;47;141;768 SOUTH JEFFERSON AVE;Cookeville;TN;38501;Supercenter
658;07.04.1981;03.01.1994;1;13;115;2510 REDMOND CIRCLE;Rome;GA;30165;Supercenter
659;07.04.1981;03.01.1998;1;47;37;7044 CHARLOTTE PIKE;Nashville;TN;37209;Supercenter
660;07.04.1981;03.01.1995;1;1;33;517 WEST AVALON AVE;Muscle Shoals;AL;35661;Supercenter
661;07.04.1981;03.01.1996;1;1;83;1011 U.S. HWY 72 EAST;Athens;AL;35611;Supercenter
662;07.04.1981;03.01.2000;1;1;103;2800 SPRING AVN. S.W;Decatur;AL;35603;Supercenter
663;07.04.1981;6/15/2005 ;1;47;107;1815 DECATUR PIKE;Athens;TN;37303;Supercenter
664;10/30/1984 ;03.01.2000;1;20;51;4301 VINE STREET;Hays;KS;67601;Supercenter
665;07.04.1981;03.01.1996;1;21;217;725 CAMPBELLSVILLE BYPASS;Campbellsville;KY;42718;Supercenter
666;11/29/1984 ;03.01.1998;1;12;55;3525 US HWY 27 NORTH;Sebring;FL;33870;Supercenter
667;07.04.1981;03.01.1995;1;47;31;2111 NORTH JACKSON STREET;Tullahoma;TN;37388;Supercenter
668;07.04.1981;03.01.1996;1;47;177;915 NO. CHANCERY ST;McMinnville;TN;37110;Supercenter
669;07.04.1981;03.01.1996;1;13;313;2545 E WALNUT AVE;Dalton;GA;30721;Supercenter
670;07.04.1981;4/17/2002 ;1;1;43;626 OLIVE STREET SW;Cullman;AL;35055;Supercenter
671;07.04.1981;03.01.1995;1;47;189;615 S CUMBERLAND ST;Lebanon;TN;37087;Supercenter
672;07.04.1981;03.01.1996;1;47;9;1030 HUNTERS CROSSING DRIVE;Alcoa;TN;37701;Supercenter
673;06.02.1987;03.01.1995;1;47;125;3050 WILMA RUDOLPH BLVD;Clarksville;TN;37040;Supercenter
674;08.12.1981;03.01.1997;1;47;165;1112 NASHVILLE PIKE;Gallatin;TN;37066;Supercenter
675;07.04.1981;03.01.1995;1;47;131;1601 W REELFOOT AVE;Union City;TN;38261;Supercenter
676;07.04.1981;3/14/2001 ;1;47;145;1102 NO. GATEWAY AVE;Rockwood;TN;37854;Supercenter
